sample: 100%|██████████| 3000/3000 [02:42<00:00, 18.51it/s, 15 steps of size 3.02e-01. acc. prob=0.85]

                                    mean       std    median      5.0%     95.0%     n_eff     r_hat
   transcriptome/dispersion[0]      1.87      0.18      1.86      1.58      2.17   3533.49      1.00
   transcriptome/dispersion[1]      2.19      0.22      2.17      1.84      2.55   4742.78      1.00
   transcriptome/dispersion[2]      1.90      0.18      1.89      1.63      2.20   3853.77      1.00
   transcriptome/dispersion[3]      1.92      0.16      1.91      1.65      2.19   4690.84      1.00
   transcriptome/dispersion[4]      1.52      0.18      1.51      1.25      1.81   4228.16      1.00
   transcriptome/dispersion[5]      2.32      0.19      2.31      2.03      2.66   4280.01      1.00
   transcriptome/dispersion[6]      1.84      0.41      1.79      1.21      2.44   3093.83      1.00
   transcriptome/dispersion[7]      1.97      0.16      1.96      1.68      2.22   3768.11      1.00
   transcriptome/dispersion[8]      0.87      0.33      0.80      0.41      1.37   3393.45      1.00
   transcriptome/dispersion[9]      1.78      0.15      1.77      1.51      2.01   4763.48      1.00
  transcriptome/dispersion[10]      1.15      0.32      1.10      0.64      1.61   2911.90      1.00
  transcriptome/dispersion[11]      1.43      0.22      1.42      1.06      1.77   4277.63      1.00
  transcriptome/dispersion[12]      1.94      0.37      1.88      1.37      2.52   3278.76      1.00
  transcriptome/dispersion[13]      1.63      0.14      1.62      1.38      1.86   3274.97      1.00
  transcriptome/dispersion[14]      1.71      0.22      1.70      1.34      2.02   3995.50      1.00
  transcriptome/dispersion[15]      1.61      0.26      1.58      1.19      2.00   3650.13      1.00
  transcriptome/dispersion[16]      1.99      0.20      1.98      1.67      2.30   3028.10      1.00
  transcriptome/dispersion[17]      1.50      0.25      1.47      1.07      1.84   4310.23      1.00
  transcriptome/dispersion[18]      1.68      0.15      1.67      1.44      1.94   4252.26      1.00
  transcriptome/dispersion[19]      1.60      0.24      1.58      1.19      1.97   5121.51      1.00
  transcriptome/dispersion[20]      1.37      0.16      1.36      1.13      1.65   4127.05      1.00
  transcriptome/dispersion[21]      1.25      0.13      1.25      1.04      1.46   4541.78      1.00
  transcriptome/dispersion[22]      0.43      0.05      0.43      0.35      0.52   4196.75      1.00
  transcriptome/dispersion[23]      1.41      0.14      1.40      1.19      1.62   4502.02      1.00
  transcriptome/dispersion[24]      1.52      0.15      1.52      1.29      1.77   4245.67      1.00
  transcriptome/dispersion[25]      0.51      0.07      0.50      0.38      0.62   3493.40      1.00
  transcriptome/dispersion[26]      1.46      0.15      1.45      1.20      1.67   6739.34      1.00
  transcriptome/dispersion[27]      1.45      0.14      1.44      1.23      1.69   3565.78      1.00
  transcriptome/dispersion[28]      0.78      0.12      0.78      0.60      0.98   3320.10      1.00
  transcriptome/dispersion[29]      0.13      0.01      0.13      0.11      0.15   4155.43      1.00
         transcriptome/freq[0]      0.04      0.00      0.04      0.03      0.04   2898.57      1.00
         transcriptome/freq[1]      0.04      0.00      0.04      0.03      0.04   2963.41      1.00
         transcriptome/freq[2]      0.05      0.00      0.05      0.04      0.05   2347.69      1.00
