sample: 100%|██████████| 3000/3000 [1:23:46<00:00,  1.68s/it, 1023 steps of size 2.07e-03. acc. prob=0.83]

                                    mean       std    median      5.0%     95.0%     n_eff     r_hat
   transcriptome/dispersion[0]      1.87      0.18      1.85      1.58      2.15    745.03      1.00
   transcriptome/dispersion[1]      2.20      0.22      2.19      1.83      2.55    497.53      1.00
   transcriptome/dispersion[2]      1.90      0.18      1.89      1.62      2.18    486.49      1.00
   transcriptome/dispersion[3]      1.90      0.15      1.89      1.65      2.16    627.83      1.00
   transcriptome/dispersion[4]      1.49      0.17      1.48      1.20      1.74    471.61      1.00
   transcriptome/dispersion[5]      2.29      0.20      2.29      2.00      2.62    535.32      1.00
   transcriptome/dispersion[6]      1.81      0.39      1.75      1.25      2.43    630.79      1.00
   transcriptome/dispersion[7]      1.97      0.17      1.97      1.70      2.24    575.00      1.00
   transcriptome/dispersion[8]      0.92      0.37      0.84      0.39      1.40    418.79      1.00
   transcriptome/dispersion[9]      1.76      0.15      1.75      1.50      1.99    609.24      1.00
  transcriptome/dispersion[10]      1.06      0.27      1.02      0.66      1.47    601.72      1.00
  transcriptome/dispersion[11]      1.24      0.16      1.23      0.97      1.49    644.15      1.00
  transcriptome/dispersion[12]      1.61      0.30      1.57      1.12      2.05    535.51      1.00
  transcriptome/dispersion[13]      1.14      0.10      1.14      0.98      1.29    557.84      1.01
  transcriptome/dispersion[14]      1.32      0.15      1.31      1.06      1.56    637.04      1.00
  transcriptome/dispersion[15]      1.43      0.22      1.41      1.07      1.78    335.82      1.00
  transcriptome/dispersion[16]      1.37      0.13      1.37      1.17      1.57    496.15      1.00
  transcriptome/dispersion[17]      1.16      0.15      1.14      0.90      1.39    554.79      1.00
  transcriptome/dispersion[18]      1.23      0.10      1.22      1.06      1.40    542.64      1.00
  transcriptome/dispersion[19]      1.46      0.19      1.45      1.15      1.78    593.61      1.00
  transcriptome/dispersion[20]      0.66      0.06      0.66      0.56      0.76    547.60      1.00
  transcriptome/dispersion[21]      0.66      0.06      0.66      0.57      0.76    597.37      1.00
  transcriptome/dispersion[22]      1.51      0.24      1.49      1.13      1.89    638.69      1.00
  transcriptome/dispersion[23]      0.77      0.07      0.77      0.66      0.87    672.78      1.00
  transcriptome/dispersion[24]      0.76      0.07      0.76      0.63      0.86    567.82      1.01
  transcriptome/dispersion[25]      1.33      0.22      1.30      0.96      1.67    570.10      1.00
  transcriptome/dispersion[26]      0.66      0.05      0.66      0.57      0.74    590.49      1.00
